FID_Baklaw,OBJECTID,PARCELKEY,PARCELNO,DISTRICT,VDC,WARDNO,GRIDS1,PARCELTY,Shape_Leng,Shape_Area,ParcelNote,PARCELLU,UID,FID_Landus,Area,Class,Zonetype,Remarks,ZoneNo,Maxm_Area
229,252,07000000000001416008607,3164,16,86,7.0,70000000.0,0,49.0283050459,49.8212939345,,0,B2293164070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,49.732609726
230,253,07000000000001316008607,3167,16,86,7.0,70000000.0,0,57.0753059329,49.7635678056,,0,B2303167070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,49.6749682615
231,266,07000000000016616008607,204,16,86,7.0,70000000.0,0,88.0937170543,386.586044571,,0,B231204070000000,1259,66623.5609448,Residential Zone,Residential Zone,Residential,ZoneNo 2,385.897975692
23,30,07000000000002216008607,22,16,86,7.0,70000000.0,0,55.3664048765,156.071262836,,0,B2322070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,155.793675351
232,267,0700000000031741608607,3174,16,86,7.0,70000000.0,0,67.3053348804,217.01363938,Splited From 3036,0,B2323174070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,194.394233018
233,268,0700000000031731608607,3173,16,86,7.0,70000000.0,0,60.0844500284,127.000008069,Splited From 3036,0,B2333173070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,126.744337887
234,271,0700000000031771608607,3177,16,86,7.0,70000000.0,0,48.6030685176,135.628302428,Splited From 3040,0,B2343177070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,133.031977496
235,275,0700000000031801608607,3180,16,86,7.0,70000000.0,0,221.313024621,1180.79735408,Splited From 45,0,B2353180070000000,204,12592.3335999,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,296.966785923
236,279,07000000000302516008607,3071,16,86,7.0,70000000.0,0,60.17334032,116.373702521,,0,B2363071070000000,1259,66623.5609448,Residential Zone,Residential Zone,Residential,ZoneNo 2,85.8926151389
237,280,07000000000010316008607,3075,16,86,7.0,70000000.0,0,102.683693602,591.977474672,,0,B2373075070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,590.921997268
238,281,07000000000012116008607,3092,16,86,7.0,70000000.0,0,85.1389828923,284.280531949,,0,B2383092070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,283.773053516
