FID_Baklaw,OBJECTID,PARCELKEY,PARCELNO,DISTRICT,VDC,WARDNO,GRIDS1,PARCELTY,Shape_Leng,Shape_Area,ParcelNote,PARCELLU,UID,FID_Landus,Area,Class,Zonetype,Remarks,ZoneNo,Maxm_Area
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1960,11026.9494719,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,11026.9494718
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1961,29325.5284421,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,29325.5284423
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1962,15470.6385538,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,15470.6385538
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1963,65398.0565628,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,65398.0565629
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1964,51011.048779,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,51011.0487791
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1965,16283.3189103,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,16283.3189104
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1966,7677.18202242,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,7677.18202246
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1967,34018.048029,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,34018.048029
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1968,3264.15214801,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,3264.15214803
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1969,627.579565342,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,627.57956533
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1970,832.929961707,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,832.929961689
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1971,1761.31541029,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1761.3154103
